InteractionType,InteractionName,term
Mutualism,Pollination,pollinat
Mutualism,Pollination,visit
Mutualism,Pollination,pollen
Mutualism,Pollination,beari
Mutualism,Pollination,visiti
Mutualism,Pollination,visitat
Mutualism,Pollination,carry
Mutualism,Pollination,carrin
Mutualism,Seed dispersal,fruit-eat
Mutualism,Seed dispersal,consume
Mutualism,Seed dispersal,dispers
Mutualism,Seed dispersal,carrie
Mutualism,Seed dispersal,plante
Antagonistic,Predation,prey
Antagonistic,Predation,predat
Antagonistic,Predation,consum
Antagonistic,Predation,hunt
Antagonistic,Predation,kill
Antagonistic,Predation,eat
Antagonistic,Parasitism,parasit
Antagonistic,Parasitism,pseudoparasit
