Function,FunctionType,FunctionClass,Traits,Term
Dispersal,Aerial dispersal,Foraging distance,Presence/absence wings,wing
Dispersal,Aerial dispersal,Foraging distance,ballooning,ballooni
Dispersal,Aerial dispersal,Foraging distance,Migratory statue,migra
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,range
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,dispers
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,fly
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,flew
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,flown
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,air
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,glide
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,soar
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,hover
Dispersal,Aerial dispersal,Foraging distance,Dispersal range,hang
Dispersal,Aerial dispersal,Foraging distance,Inter-tegular distance,tegula
Dispersal,Aerial dispersal,Foraging distance,Mobility,femur
Dispersal,Aerial dispersal,Foraging distance,Mobility,move
Dispersal,Aerial dispersal,Foraging distance,Mobility,walk
Dispersal,Aerial dispersal,Foraging distance,Mobility,distanc
Dispersal,Aerial dispersal,Foraging distance,Mobility,foragin
Dispersal,Aerial dispersal,Foraging distance,Wing loading ,wing
Dispersal,Aerial dispersal,Foraging distance,Wing loading ,weight
Dispersal,Aerial dispersal,Foraging distance,Wing loading ,area
Dispersal,Aerial dispersal,Foraging distance,Length of the nervures of wings,nerv
Dispersal,Aerial dispersal,Foraging distance,Length of the nervures of wings,nerva
Dispersal,Aerial dispersal,Foraging distance,Length of the nervures of wings,nervatur
Dispersal,Aerial dispersal,Foraging distance,Wing area,area
Dispersal,Aerial dispersal,Foraging distance,Wing area,surfac
Dispersal,Aerial dispersal,Foraging distance,Wing area,wing
Dispersal,Aerial dispersal,Foraging distance,Wing shape,wing
Dispersal,Aerial dispersal,Foraging distance,Wing shape,shap
Dispersal,Aerial dispersal,Energy allocated to dispersal,Wing length,length
Dispersal,Aerial dispersal,Energy allocated to dispersal,Wing length,wing
Dispersal,Aerial dispersal,Energy allocated to dispersal,Wing length,size
Dispersal,Aerial dispersal,Energy allocated to dispersal,Wing length,centroid
Dispersal,Aerial dispersal,Foraging distance,Wing shape,size
Dispersal,Aerial dispersal,Foraging distance,Wing shape,centroid
Dispersal,Ground dispersal,Foraging speed,Appendage and eye development,eye
Dispersal,Ground dispersal,Foraging speed,Appendage and eye development,number of eyes
Dispersal,Ground dispersal,Foraging speed,Walking activity level,walk
Dispersal,Ground dispersal,Foraging speed,Walking activity level,speed
Dispersal,Ground dispersal,Foraging speed,Femoral lenght,femur
Dispersal,Ground dispersal,Foraging speed,Femoral lenght,femoral
Dispersal,Ground dispersal,Foraging speed,Length of whole leg,leg
Dispersal,Ground dispersal,Climbing ability,Tarsal lenght ,tars
Dispersal,Ground dispersal,Vertical movement,Femoral width,femoral
Dispersal,Ground dispersal,Vertical movement,Femoral width,femur
Dispersal,Ground dispersal,Vertical movement,Metatrochanter length,metatrochant
Dispersal,Ground dispersal,Vertical movement,Metatrochanter length,trochant
Dispersal,Hydrochory,Hydrochory,Hydrochory,Hydrochor
Abiotic filters,Habitat used,Habitat structure,Position of nest,Nest
Abiotic filters,Habitat used,Habitat structure,Head width,head
Abiotic filters,Habitat used,Habitat structure,eye position,eye
Abiotic filters,Habitat used,Habitat structure,body width,body
Abiotic filters,Habitat used,Vertical distribution,Number of eyes,eyes
Abiotic filters,Habitat used,Vertical distribution,Life form,life
Abiotic filters,Habitat used,Vertical distribution,Life form,form
Abiotic filters,Habitat used,Vertical distribution,Trichobothria,Trichobothria
Abiotic filters,Habitat used,Microhabitat,Number of claws,claw
Abiotic filters,Habitat used,Microhabitat,Sensillus type/length,Sensill
Abiotic filters,Habitat used,Microhabitat,Notogaster length,Notogast
Abiotic filters,Habitat used,Microhabitat,Adhesive structures,adhesiv
Abiotic filters,Habitat used,Microhabitat,Adhesive structures,silk
Abiotic filters,Habitat used,Microhabitat,Adhesive structures,stick
Abiotic filters,Habitat used,Microhabitat,Body compression,Body
Abiotic filters,Habitat used,Microhabitat,Body compression,compress
Abiotic filters,Habitat used,Microhabitat,Claw length,claw
Abiotic filters,Habitat used,Habitat complexity,Tibial length ,Tibia
