"InteractionType","InteractionName","term","value","L1"
"Mutualism","Pollination","pollinat","Pollination","108"
"Mutualism","Pollination","pollinat","Pollination","148"
"Mutualism","Pollination","pollinat","Pollination","208"
"Mutualism","Pollination","pollinat","Pollination","471"
"Mutualism","Pollination","pollinat","Pollination","492"
"Mutualism","Pollination","pollinat","Pollination","553"
"Mutualism","Pollination","pollinat","Pollination","697"
"Mutualism","Pollination","pollinat","Pollination","699"
"Mutualism","Pollination","pollinat","Pollination","732"
"Antagonistic","Predation","prey","Predation","745"
"Mutualism","Pollination","pollinat","Pollination","748"
"Mutualism","Pollination","pollinat","Pollination","758"
"Mutualism","Pollination","pollinat","Pollination","759"
"Mutualism","Pollination","pollinat","Pollination","802"
"Mutualism","Pollination","pollinat","Pollination","810"
"Mutualism","Pollination","pollinat","Pollination","811"
"Mutualism","Pollination","pollinat","Pollination","827"
"Antagonistic","Predation","prey","Predation","840"
"Mutualism","Pollination","pollinat","Pollination","843"
"Mutualism","Pollination","pollinat","Pollination","856"
"Mutualism","Pollination","pollinat","Pollination","864"
"Mutualism","Pollination","pollinat","Pollination","865"
"Mutualism","Pollination","pollinat","Pollination","1000"
"Mutualism","Pollination","pollinat","Pollination","1001"
"Mutualism","Pollination","pollinat","Pollination","1065"
"Mutualism","Pollination","pollinat","Pollination","1114"
"Mutualism","Pollination","pollinat","Pollination","1165"
"Mutualism","Pollination","pollinat","Pollination","1189"
"Antagonistic","Predation","prey","Predation","1250"
"Antagonistic","Predation","prey","Predation","1475"
"Mutualism","Pollination","pollinat","Pollination","1845"
"Mutualism","Pollination","pollinat","Pollination","1972"
"Mutualism","Pollination","pollinat","Pollination","2034"
"Mutualism","Pollination","pollinat","Pollination","2058"
"Mutualism","Pollination","pollinat","Pollination","2070"
"Mutualism","Pollination","pollinat","Pollination","2211"
"Mutualism","Pollination","pollinat","Pollination","2274"
"Mutualism","Pollination","pollinat","Pollination","2275"
"Mutualism","Pollination","pollinat","Pollination","2290"
"Mutualism","Pollination","pollinat","Pollination","2291"
"Antagonistic","Predation","prey","Predation","2410"
"Antagonistic","Predation","prey","Predation","2411"
"Antagonistic","Predation","prey","Predation","2412"
"Antagonistic","Predation","prey","Predation","2413"
"Mutualism","Pollination","pollinat","Pollination","2445"
"Antagonistic","Predation","prey","Predation","2505"
"Mutualism","Pollination","pollinat","Pollination","2881"
"Mutualism","Pollination","pollinat","Pollination","2889"
"Mutualism","Pollination","pollinat","Pollination","2905"
"Mutualism","Pollination","pollinat","Pollination","2926"
"Mutualism","Pollination","pollinat","Pollination","2943"
"Mutualism","Pollination","pollinat","Pollination","2944"
"Mutualism","Pollination","pollinat","Pollination","2958"
"Mutualism","Pollination","pollinat","Pollination","2961"
"Antagonistic","Predation","prey","Predation","3027"
"Antagonistic","Predation","prey","Predation","3064"
"Antagonistic","Predation","prey","Predation","3066"
"Antagonistic","Predation","prey","Predation","3067"
"Antagonistic","Predation","prey","Predation","3074"
"Antagonistic","Predation","prey","Predation","3091"
"Antagonistic","Predation","prey","Predation","3130"
"Antagonistic","Predation","prey","Predation","3134"
"Mutualism","Pollination","pollinat","Pollination","3143"
"Mutualism","Pollination","pollinat","Pollination","3237"
"Mutualism","Pollination","pollinat","Pollination","3539"
"Mutualism","Pollination","pollinat","Pollination","3947"
"Mutualism","Pollination","pollinat","Pollination","3950"
"Mutualism","Pollination","pollinat","Pollination","3956"
"Mutualism","Pollination","pollinat","Pollination","3957"
"Mutualism","Pollination","pollinat","Pollination","3968"
"Mutualism","Pollination","pollinat","Pollination","4025"
"Mutualism","Pollination","pollinat","Pollination","4558"
"Mutualism","Pollination","pollinat","Pollination","4559"
"Mutualism","Pollination","pollinat","Pollination","4689"
"Mutualism","Pollination","pollinat","Pollination","4766"
"Mutualism","Pollination","pollinat","Pollination","4767"
"Mutualism","Pollination","pollinat","Pollination","4768"
"Mutualism","Pollination","pollinat","Pollination","4776"
"Mutualism","Pollination","pollinat","Pollination","4777"
"Mutualism","Pollination","pollinat","Pollination","4782"
"Mutualism","Pollination","pollinat","Pollination","4787"
"Mutualism","Pollination","pollinat","Pollination","4788"
"Mutualism","Pollination","pollinat","Pollination","4825"
"Mutualism","Pollination","pollinat","Pollination","4853"
"Mutualism","Pollination","pollinat","Pollination","4854"
"Mutualism","Pollination","pollinat","Pollination","4855"
"Mutualism","Pollination","pollinat","Pollination","4857"
"Mutualism","Pollination","pollinat","Pollination","4877"
"Mutualism","Pollination","pollinat","Pollination","4885"
"Mutualism","Pollination","pollinat","Pollination","4993"
"Mutualism","Pollination","pollinat","Pollination","4995"
"Mutualism","Pollination","pollinat","Pollination","5115"
"Mutualism","Pollination","pollinat","Pollination","5238"
"Mutualism","Pollination","pollinat","Pollination","5357"
"Mutualism","Pollination","pollinat","Pollination","5362"
"Antagonistic","Predation","prey","Predation","5575"
"Mutualism","Pollination","pollinat","Pollination","5624"
"Mutualism","Pollination","pollinat","Pollination","5714"
"Mutualism","Pollination","pollinat","Pollination","5715"
"Mutualism","Pollination","pollinat","Pollination","5716"
"Antagonistic","Predation","prey","Predation","5818"
"Mutualism","Pollination","pollinat","Pollination","5827"
"Mutualism","Pollination","pollinat","Pollination","5838"
"Mutualism","Pollination","pollinat","Pollination","5839"
"Mutualism","Pollination","pollinat","Pollination","5860"
"Mutualism","Pollination","pollinat","Pollination","5872"
"Mutualism","Pollination","pollinat","Pollination","6339"
"Mutualism","Pollination","pollinat","Pollination","6340"
"Mutualism","Pollination","pollinat","Pollination","6430"
"Mutualism","Pollination","pollinat","Pollination","6448"
"Mutualism","Pollination","pollinat","Pollination","6578"
"Mutualism","Pollination","pollinat","Pollination","6583"
"Antagonistic","Predation","prey","Predation","6769"
"Mutualism","Pollination","pollinat","Pollination","6888"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","6901"
"Antagonistic","Predation","prey","Predation","6942"
"Antagonistic","Predation","prey","Predation","6943"
"Mutualism","Pollination","pollinat","Pollination","7173"
"Mutualism","Pollination","pollinat","Pollination","7176"
"Mutualism","Pollination","pollinat","Pollination","7180"
"Mutualism","Pollination","pollinat","Pollination","7344"
"Mutualism","Pollination","pollinat","Pollination","7350"
"Mutualism","Pollination","pollinat","Pollination","7357"
"Mutualism","Pollination","pollinat","Pollination","7407"
"Mutualism","Pollination","pollinat","Pollination","7476"
"Mutualism","Pollination","pollinat","Pollination","7599"
"Mutualism","Pollination","pollinat","Pollination","7694"
"Antagonistic","Predation","prey","Predation","7704"
"Mutualism","Pollination","pollinat","Pollination","7712"
"Mutualism","Pollination","pollinat","Pollination","7715"
"Mutualism","Pollination","pollinat","Pollination","7717"
"Mutualism","Pollination","pollinat","Pollination","7719"
"Mutualism","Pollination","pollinat","Pollination","7730"
"Mutualism","Pollination","pollinat","Pollination","7731"
"Mutualism","Pollination","pollinat","Pollination","7734"
"Mutualism","Pollination","pollinat","Pollination","7735"
"Mutualism","Pollination","pollinat","Pollination","7736"
"Mutualism","Pollination","pollinat","Pollination","7737"
"Mutualism","Pollination","pollinat","Pollination","7739"
"Mutualism","Pollination","pollinat","Pollination","7740"
"Mutualism","Pollination","pollinat","Pollination","7743"
"Mutualism","Pollination","pollinat","Pollination","7744"
"Mutualism","Pollination","pollinat","Pollination","7745"
"Mutualism","Pollination","pollinat","Pollination","7751"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","7910"
"Mutualism","Pollination","pollinat","Pollination","7913"
"Mutualism","Pollination","pollinat","Pollination","7920"
"Mutualism","Pollination","pollinat","Pollination","7921"
"Mutualism","Pollination","pollinat","Pollination","7949"
"Mutualism","Pollination","pollinat","Pollination","7984"
"Mutualism","Pollination","pollinat","Pollination","8028"
"Mutualism","Pollination","pollinat","Pollination","8034"
"Mutualism","Seed dispersal","fruit-eat","Seed dispersal","8892"
"Mutualism","Pollination","pollinat","Pollination","9170"
"Mutualism","Pollination","pollinat","Pollination","9194"
"Mutualism","Pollination","pollinat","Pollination","9253"
"Mutualism","Pollination","pollinat","Pollination","9254"
"Mutualism","Pollination","pollinat","Pollination","9255"
"Mutualism","Pollination","pollinat","Pollination","9272"
"Mutualism","Pollination","pollinat","Pollination","9315"
"Antagonistic","Predation","prey","Predation","9376"
"Antagonistic","Predation","prey","Predation","9403"
"Antagonistic","Predation","prey","Predation","9404"
"Antagonistic","Predation","prey","Predation","9405"
"Mutualism","Pollination","pollinat","Pollination","9436"
"Mutualism","Pollination","pollinat","Pollination","9437"
